train_mae_step,epoch,step,valid_loss,valid_mae,train_mae_epoch,train_loss,test_loss,test_mae
386.986083984375,0,4,,,,,,
,0,5,145063.59375,237.68524169921875,,,,
,0,5,,,561.4573364257812,715415.25,,
273.8439025878906,1,9,,,,,,
,1,11,131679.796875,236.43270874023438,,,,
,1,11,,,255.31129455566406,160950.921875,,
172.90914916992188,2,14,,,,,,
,2,17,134666.890625,236.62631225585938,,,,
,2,17,,,260.60455322265625,178127.15625,,
275.8006591796875,3,19,,,,,,
,3,23,123138.78125,243.0551300048828,,,,
,3,23,,,257.443359375,166257.6875,,
225.44509887695312,4,24,,,,,,
307.94244384765625,4,29,,,,,,
,4,29,122530.0546875,245.79356384277344,,,,
,4,29,,,257.6846008300781,163028.0625,,
220.17564392089844,5,34,,,,,,
,5,35,165144.5,297.5544128417969,,,,
,5,35,,,255.8125457763672,150444.046875,,
326.6078186035156,6,39,,,,,,
,6,41,126539.5,259.16668701171875,,,,
,6,41,,,284.8157043457031,169398.0625,,
223.18589782714844,7,44,,,,,,
,7,47,159280.609375,270.1218566894531,,,,
,7,47,,,254.54368591308594,144211.46875,,
255.69473266601562,8,49,,,,,,
,8,53,142677.765625,258.9345397949219,,,,
,8,53,,,247.3400421142578,140675.8125,,
233.92031860351562,9,54,,,,,,
291.3975830078125,9,59,,,,,,
,9,59,124864.28125,257.60107421875,,,,
,9,59,,,253.3755645751953,149062.59375,,
200.0674285888672,10,64,,,,,,
,10,65,137412.359375,254.96510314941406,,,,
,10,65,,,233.3681182861328,122147.875,,
241.2627716064453,11,69,,,,,,
,11,71,151734.234375,265.90435791015625,,,,
,11,71,,,240.9825897216797,140882.75,,
233.37332153320312,12,74,,,,,,
,12,77,161223.453125,303.43487548828125,,,,
,12,77,,,262.3018493652344,155584.390625,,
304.51007080078125,13,79,,,,,,
,13,83,131061.03125,249.78839111328125,,,,
,13,83,,,272.5399475097656,173899.9375,,
260.7254638671875,14,84,,,,,,
364.27044677734375,14,89,,,,,,
,14,89,126509.6953125,250.2177276611328,,,,
,14,89,,,255.00746154785156,140669.84375,,
228.9822998046875,15,94,,,,,,
,15,95,130326.7265625,249.27548217773438,,,,
,15,95,,,253.42991638183594,147641.90625,,
275.7938537597656,16,99,,,,,,
,16,101,121073.546875,249.176513671875,,,,
,16,101,,,257.9370422363281,153676.671875,,
234.09353637695312,17,104,,,,,,
,17,107,130414.6796875,251.43641662597656,,,,
,17,107,,,246.55535888671875,136450.28125,,
186.2970428466797,18,109,,,,,,
,18,113,129382.1484375,267.25732421875,,,,
,18,113,,,258.53179931640625,154907.125,,
324.2638244628906,19,114,,,,,,
274.89324951171875,19,119,,,,,,
,19,119,146897.65625,286.56378173828125,,,,
,19,119,,,241.43138122558594,119403.359375,,
188.0537567138672,20,124,,,,,,
,20,125,124054.125,247.76048278808594,,,,
,20,125,,,257.5712585449219,143236.890625,,
205.62890625,21,129,,,,,,
,21,131,138248.4375,256.2023010253906,,,,
,21,131,,,242.569091796875,134268.859375,,
216.28526306152344,22,134,,,,,,
,22,137,121848.4453125,256.43402099609375,,,,
,22,137,,,240.00704956054688,130172.4921875,,
199.2903594970703,23,139,,,,,,
,23,143,144425.25,289.4535217285156,,,,
,23,143,,,241.2065887451172,141140.640625,,
258.863037109375,24,144,,,,,,
316.6322021484375,24,149,,,,,,
,24,149,117662.6015625,249.48228454589844,,,,
,24,149,,,255.2156219482422,139438.3125,,
251.430419921875,25,154,,,,,,
,25,155,129531.3046875,247.48475646972656,,,,
,25,155,,,235.7288360595703,115766.421875,,
181.1637420654297,26,159,,,,,,
,26,161,122594.3203125,255.49559020996094,,,,
,26,161,,,229.23239135742188,116741.7734375,,
332.54754638671875,27,164,,,,,,
,27,167,120526.8046875,239.74639892578125,,,,
,27,167,,,279.3208923339844,165156.5,,
216.40708923339844,28,169,,,,,,
,28,173,117155.1796875,240.0863800048828,,,,
,28,173,,,236.53359985351562,129157.203125,,
263.6079406738281,29,174,,,,,,
207.19407653808594,29,179,,,,,,
,29,179,118071.2421875,237.91302490234375,,,,
,29,179,,,233.0614013671875,126243.84375,,
277.3965148925781,30,184,,,,,,
,30,185,113508.8515625,242.1868133544922,,,,
,30,185,,,234.91973876953125,110427.6953125,,
309.783203125,31,189,,,,,,
,31,191,115129.6484375,238.96990966796875,,,,
,31,191,,,262.1488037109375,157835.625,,
278.0100402832031,32,194,,,,,,
,32,197,126245.84375,246.54371643066406,,,,
,32,197,,,232.61756896972656,130559.3828125,,
220.89572143554688,33,199,,,,,,
